Symbol,Count,Payout,Hit Frequency (%),Hits (1 in X),RTP Contribution (%)
SC,5,50.0,0.027182,3678.91,1.359099
W,5,10.0,0.039213,2550.17,0.196728
SC,4,10.0,0.279421,357.88,2.794206
H1,5,5.0,0.277296,360.63,1.386479
H2,5,4.0,0.467351,213.97,1.869404
M1,5,2.5,0.677335,147.64,1.693338
W,4,2.0,0.097701,1023.53,0.195402
M2,5,2.0,1.018605,98.17,2.037211
SC,3,2.0,2.099694,47.63,4.199388
L1,5,1.5,3.095422,32.31,4.643134
H1,4,1.5,1.502417,66.56,2.253626
L2,5,1.0,5.745916,17.40,5.745916
H2,4,1.0,1.962168,50.96,1.962168
M1,4,0.8,2.885131,34.66,2.308105
M2,4,0.6,3.988133,25.07,2.392880
W,3,0.5,0.497887,200.85,0.248943
L1,4,0.4,8.744849,11.44,3.497940
H1,3,0.4,6.175107,16.19,2.470043
L2,4,0.3,13.607727,7.35,4.082318
H2,3,0.3,7.663236,13.05,2.298971
M1,3,0.2,10.349822,9.66,2.069964
M2,3,0.2,13.468921,7.42,2.693784
L1,3,0.1,25.506944,3.92,2.550694
L2,3,0.1,35.768226,2.80,3.576823
SC,6,0.0,0.001997,50077.28,0.000000
SC,7,0.0,0.000113,886391.62,0.000000
SC,8,0.0,0.000005,20234851.65,0.000000
SC,9,0.0,0.000000,595728523.06,0.000000
SC,10,0.0,0.000000,22804136254.55,0.000000
SC,11,0.0,0.000000,1155705314621.73,0.000000
SC,12,0.0,0.000000,80103972700490.98,0.000000
SC,13,0.0,0.000000,8042967127283898.00,0.000000
SC,14,0.0,0.000000,1308240658957746432.00,0.000000
SC,15,0.0,0.000000,457260199840888389632.00,0.000000

SUMMARY,,,,,
Base Game RTP,,,,,50.173871
Scatter RTP,,,,,8.352692
Bonus Trigger Prob,,,2.408411,41.52,
Total Theoretical Base RTP,,,,,58.526563
